12:49:15.451 [ApplicationImpl pooled thread 102] INFO  com.browserstack.utils.Helpers - null
12:49:15.452 [ApplicationImpl pooled thread 102] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:52:48.071 [ApplicationImpl pooled thread 107] INFO  c.b.l.BrowserStackRunExtension - testng
12:52:48.071 [ApplicationImpl pooled thread 107] INFO  com.browserstack.utils.Helpers - null
12:52:48.074 [ApplicationImpl pooled thread 107] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:53:16.320 [ApplicationImpl pooled thread 110] INFO  c.b.l.BrowserStackRunExtension - testng
12:53:16.320 [ApplicationImpl pooled thread 110] INFO  com.browserstack.utils.Helpers - null
12:53:16.321 [ApplicationImpl pooled thread 110] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:53:30.651 [ApplicationImpl pooled thread 107] INFO  c.b.l.BrowserStackRunExtension - testng
12:53:30.652 [ApplicationImpl pooled thread 107] INFO  com.browserstack.utils.Helpers - null
12:53:30.660 [ApplicationImpl pooled thread 107] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:54:02.047 [ApplicationImpl pooled thread 102] INFO  c.b.l.BrowserStackRunExtension - testng
12:54:02.048 [ApplicationImpl pooled thread 102] INFO  com.browserstack.utils.Helpers - null
12:54:02.049 [ApplicationImpl pooled thread 102] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:54:34.298 [ApplicationImpl pooled thread 108] INFO  c.b.l.BrowserStackRunExtension - testng
12:54:34.298 [ApplicationImpl pooled thread 108] INFO  com.browserstack.utils.Helpers - null
12:54:34.299 [ApplicationImpl pooled thread 108] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:54:45.003 [ApplicationImpl pooled thread 102] INFO  c.b.l.BrowserStackRunExtension - testng
12:54:45.003 [ApplicationImpl pooled thread 102] INFO  com.browserstack.utils.Helpers - null
12:54:45.015 [ApplicationImpl pooled thread 102] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:55:22.183 [ApplicationImpl pooled thread 102] INFO  c.b.l.BrowserStackRunExtension - testng
